,State/County,"Population, 2013 estimate","Population, 2012 estimate","Population, 2010 (April 1) estimates base","Population, percent change - April 1, 2010 to July 1, 2013","Population, percent change - April 1, 2010 to July 1, 2012","Population, 2010","Persons under 5 years, percent, 2012","Persons under 18 years, percent, 2012","Persons 65 years and over, percent, 2012","Female persons, percent, 2012","White alone, percent, 2012","Black or African American alone, percent, 2012","American Indian and Alaska Native alone, percent, 2012","Asian alone, percent, 2012","Native Hawaiian and Other Pacific Islander alone, percent, 2012","Two or More Races, percent, 2012","Hispanic or Latino, percent, 2012","White alone, not Hispanic or Latino, percent, 2012","Living in same house 1 year & over, percent, 2008-2012","Foreign born persons, percent, 2008-2012","Language other than English spoken at home, pct age 5+, 2008-2012","High school graduate or higher, percent of persons age 25+, 2008-2012","Bachelor's degree or higher, percent of persons age 25+, 2008-2012","Veterans, 2008-2012","Mean travel time to work (minutes), workers age 16+, 2008-2012","Housing units, 2012","Homeownership rate, 2008-2012","Housing units in multi-unit structures, percent, 2008-2012","Median value of owner-occupied housing units, 2008-2012","Households, 2008-2012","Persons per household, 2008-2012","Per capita money income in past 12 months (2012 dollars), 2008-2012","Median household income, 2008-2012","Persons below poverty level, percent, 2008-2012","Private nonfarm establishments, 2011","Private nonfarm employment, 2011","Private nonfarm employment, percent change, 2010-2011","Nonemployer establishments, 2011","Total number of firms, 2007","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Manufacturers shipments, 2007 ($1,000)","Merchant wholesaler sales, 2007 ($1,000)","Retail sales, 2007 ($1,000)","Retail sales per capita, 2007","Accommodation and food services sales, 2007 ($1,000)","Building permits, 2012","Land area in square miles, 2010","Population per square mile, 2010"
0,UNITED STATES,316128839,313873685,308747716,2.4,1.7,308745538,6.4,23.5,13.7,50.8,77.9,13.1,1.2,5.1,0.2,2.4,16.9,63.0,84.8,12.9,20.5,85.7,28.5,21853912,25.4,132452405,65.5,25.9,181400,115226802,2.61,28051,53046,14.9,7354043,113425965,1.3,22491080,27092908,7.1,0.9,5.7,0.1,8.3,28.8,5319456312,4174286516,3917663456,12990,613795732,829658,3531905.43,87.4
1,ALABAMA,4833722,4817528,4779758,1.1,0.8,4779736,6.3,23.3,14.5,51.5,70.0,26.5,0.7,1.2,0.1,1.5,4.1,66.6,84.9,3.5,5.2,82.6,22.3,398343,24.1,2189545,70.2,15.8,122300,1837576,2.54,23587,43160,18.1,97743,1573138,0.3,321641,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13506,50645.33,94.4
69,ALASKA,735132,730307,710231,3.5,2.8,710231,7.5,25.6,8.5,47.9,67.5,3.7,14.8,5.7,1.2,7.1,6.1,63.1,79.7,6.9,16.3,91.6,27.5,72090,18.6,307594,64.4,24.2,237900,252991,2.71,32537,69917,9.6,20119,254996,0.1,53334,68728,1.5,10.0,3.1,0.3,0.0,25.9,8204030,4563605,9303387,13635,1851293,994,570640.95,1.2
99,ARIZONA,6626624,6551149,6392015,3.7,2.5,6392017,6.7,24.7,14.8,50.3,84.3,4.5,5.3,3.1,0.3,2.5,30.2,57.1,80.4,13.6,26.9,85.4,26.6,530693,24.6,2871423,65.5,20.6,175900,2357158,2.66,25571,50256,17.2,130305,2108561,2.1,408650,491529,2.0,1.9,3.3,0.0,10.7,28.1,57977827,57573459,86758801,13637,13268514,21726,113594.08,56.3
115,ARKANSAS,2959373,2949828,2915916,1.5,1.2,2915918,6.6,24.1,15.0,50.9,80.0,15.6,0.9,1.4,0.3,1.8,6.8,73.9,83.0,4.4,7.1,83.3,19.8,242151,21.3,1328170,67.2,15.4,106300,1128797,2.51,22007,40531,18.7,64471,980644,1.6,193329,238994,5.5,1.1,1.4,0.1,2.3,24.5,60735582,29659789,32974282,11602,3559795,8231,52035.48,56.0
191,CALIFORNIA,38332521,37999878,37253959,2.9,2.0,37253956,6.7,24.3,12.1,50.3,73.7,6.6,1.7,13.9,0.5,3.6,38.2,39.4,84.2,27.1,43.5,81.0,30.5,1952910,27.1,13707386,56.0,30.9,383900,12466331,2.93,29551,61400,15.3,849316,12698427,1.3,2887014,3425510,4.0,1.3,14.9,0.3,16.5,30.3,491372092,598456486,455032270,12561,80852787,58549,155779.22,239.1
250,COLORADO,5268367,5189458,5029196,4.8,3.2,5029196,6.5,23.7,11.8,49.8,88.1,4.3,1.6,3.0,0.2,2.8,21.0,69.6,80.8,9.7,16.8,89.9,36.7,405895,24.4,2230459,65.9,25.8,236800,1962753,2.51,31039,58244,12.9,150889,1972271,0.9,434910,547770,1.7,0.8,2.6,0.1,6.2,29.2,46331953,53598986,65896788,13609,11440395,23301,103641.89,48.5
315,CONNECTICUT,3596080,3591765,3574097,0.6,0.5,3574097,5.4,22.1,14.8,51.3,82.0,11.2,0.5,4.2,0.1,2.1,14.2,70.3,87.9,13.5,21.2,89.0,36.2,228291,24.8,1487910,68.3,34.5,285900,1360184,2.54,37807,69519,10.0,88040,1442620,0.4,259835,332150,4.4,0.5,3.3,0.0,4.2,28.1,58404898,107917037,52165480,14953,9138437,4669,4842.36,738.1
324,DELAWARE,925749,917053,897936,3.1,2.1,897934,6.1,22.4,15.3,51.5,71.4,22.0,0.7,3.5,0.1,2.4,8.6,64.6,85.8,8.3,12.3,87.7,28.5,76752,24.8,410321,72.7,17.7,241100,334076,2.62,29733,60119,11.5,24132,359602,0.2,55418,74573,8.7,0.0,4.0,0.0,2.1,26.1,25679939,5727401,14202083,16421,1910770,4091,1948.54,460.8
328,DISTRICT OF COLUMBIA,646449,633427,601767,7.4,5.3,601723,6.1,17.3,11.4,52.7,42.9,50.1,0.6,3.8,0.2,2.5,9.9,35.5,80.3,13.5,14.9,87.5,51.2,30777,29.6,300241,42.4,62.1,443000,261192,2.17,45004,64267,18.5,21545,477623,3.1,49329,55887,28.2,0.9,5.9,0.0,6.1,34.5,332844,2117990,3843716,6555,4278171,3823,61.05,9856.5
