Agency, PIE
SurveyUSA, 0.72
Rasmussen Reports, 0.88
Field Poll (CA), 0.88
Selzer & Co, 0.92
Ohio Poll/U. of Cincinnati, 1.05
Chicago Tribune/Market Shares, 1.13
Mason-Dixon, 1.15
Research 2000, 1.20
U. of New Hampshire, 1.26
Insider Advantage, 1.29
Quinnipiac, 1.34
Suffolk, 1.37
ABC/Washington Post, 1.41
Detroit News/Mitchell (MI), 1.43
LA Times/Bloomberg, 1.44
Strategic Vision, 1.45
Franklin & Marshall/Keystone (PA), 1.55
CNN/Opinion Research, 1.59
Public Policy Polling, 1.60
Franklin Pierce (NH), 1.60
FOX/Opinion Dynamics 1.60
EPIC-MRA (MI), 1.65
Fairleigh Dickinson (NJ), 1.72
Zogby, 1.72
Marist (NY), 1.74
American Research Group, 1.76
Public Opinion Strategies, 1.81
CBS/New York Times, 1.84
Star-Tribune (MN), 2.01
Gallup, 2.01
Zogby Interactive, 4.74
Columbus Dispatch (OH), 6.76
