Poll,Date,Sample,MoE,Obama,McCain,Spread
Marist,11/3,804,4.0,52.0,43.0,9.0
Battleground (Lake)*,11/3,800,3.5,52.0,47.0,5.0
Battleground (Tarrance)*,11/3,800,3.5,50.0,48.0,2.0
Rasmussen Reports,11/3,3000,2.0,52.0,46.0,6.0
Reuters/C-SPAN/Zogby,11/3,1201,2.9,54.0,43.0,11.0
IBD/TIPP,11/3,981,3.2,52.0,44.0,8.0
FOX News,11/2,971,3.0,50.0,43.0,7.0
NBC News/Wall St. Jrnl,11/2,1011,3.1,51.0,43.0,8.0
Gallup,11/2,2472,2.0,55.0,44.0,11.0
Diageo/Hotline,11/2,887,3.3,50.0,45.0,5.0
CBS News,11/2,714,,51.0,42.0,9.0
Ipsos/McClatchy,11/2,760,3.6,53.0,46.0,7.0
ABC News/Wash Post,11/2,2470,2.5,53.0,44.0,9.0
CNN/Opinion Research,11/1,714,3.5,53.0,46.0,7.0
Pew Research,11/1,2587,2.0,52.0,46.0,6.0
GWU/Battleground,11/2,800,3.5,50.0,44.0,6.0
Gallup (Traditional)*,11/1,2503,2.0,51.0,43.0,8.0
Gallup (Expanded)*,11/1,2475,2.0,52.0,43.0,9.0
Marist,10/29,543,4.5,50.0,43.0,7.0
FOX News,10/29,924,3.0,47.0,44.0,3.0
CBS News/NY Times,10/29,1005,,52.0,41.0,11.0
Ipsos/McClatchy,10/27,831,3.4,50.0,45.0,5.0
Rasmussen Reports,10/26,3000,2.0,51.0,46.0,5.0
Gallup (Traditional)*,10/26,2446,2.0,50.0,45.0,5.0
Gallup (Expanded)*,10/26,2343,2.0,53.0,43.0,10.0
Diageo/Hotline,10/26,879,3.6,50.0,42.0,8.0
Reuters/C-SPAN/Zogby,10/26,1203,2.9,50.0,45.0,5.0
ABC News/Wash Post,10/26,1314,2.5,52.0,45.0,7.0
Pew Research,10/26,1198,3.5,53.0,38.0,15.0
IBD/TIPP,10/26,824,3.5,47.0,44.0,3.0
GWU/Battleground,10/26,1000,3.5,49.0,46.0,3.0
Newsweek,10/23,882,4.0,53.0,41.0,12.0
Rasmussen Reports,10/22,3000,2.0,52.0,45.0,7.0
Gallup (Traditional)*,10/22,2399,2.0,50.0,46.0,4.0
Gallup (Expanded)*,10/22,2349,2.0,51.0,45.0,6.0
Diageo/Hotline,10/22,769,3.5,48.0,43.0,5.0
Reuters/C-SPAN/Zogby,10/22,1206,2.9,52.0,40.0,12.0
ABC News/Wash Post,10/22,1335,2.5,54.0,43.0,11.0
IBD/TIPP,10/22,1060,3.5,45.0,44.0,1.0
GWU/Battleground,10/22,1000,3.5,49.0,45.0,4.0
FOX News,10/21,936,3.0,49.0,40.0,9.0
CBS News/NY Times,10/22,771,,52.0,39.0,13.0
NBC News/Wall St. Jrnl,10/20,1159,2.9,52.0,42.0,10.0
Associated Press/GfK,10/20,800,3.5,44.0,43.0,1.0
Ipsos/McClatchy,10/20,773,3.5,50.0,42.0,8.0
CNN/Opinion Research,10/19,764,3.5,51.0,46.0,5.0
Pew Research,10/19,2382,2.5,53.0,39.0,14.0
Rasmussen Reports,10/18,3000,2.0,51.0,45.0,6.0
Gallup (Traditional)*,10/18,2590,2.0,49.0,46.0,3.0
Gallup (Expanded)*,10/18,2277,2.0,51.0,44.0,7.0
Diageo/Hotline,10/18,785,3.5,48.0,41.0,7.0
Reuters/C-SPAN/Zogby,10/18,1211,2.9,48.0,45.0,3.0
Democracy Corps (D),10/19,1000,,50.0,46.0,4.0
GWU/Battleground,10/19,1000,3.1,49.0,45.0,4.0
F&M/Hearst-Argyle,10/19,0,3.5,50.0,45.0,5.0
IBD/TIPP,10/18,1072,3.0,47.0,42.0,5.0
Rasmussen Reports,10/13,3000,2.0,50.0,45.0,5.0
Diageo/Hotline,10/13,829,3.4,48.0,42.0,6.0
Reuters/C-SPAN/Zogby,10/13,1208,2.9,49.0,43.0,6.0
Gallup (Traditional)*,10/13,2140,2.0,51.0,45.0,6.0
Gallup (Expanded)*,10/13,2289,2.0,53.0,43.0,10.0
LA Times/Bloomberg,10/13,1030,3.0,50.0,41.0,9.0
CBS News/NY Times,10/13,699,,53.0,39.0,14.0
GWU/Battleground,10/13,800,3.5,53.0,40.0,13.0
IBD/TIPP,10/13,884,3.5,45.0,42.0,3.0
USA Today/Gallup (Traditional)*,10/12,761,4.0,50.0,46.0,4.0
USA Today/Gallup (Expanded)*,10/12,1030,3.0,52.0,45.0,7.0
Pew Research,10/12,1191,,49.0,42.0,7.0
Ipsos/McClatchy,10/13,1036,3.0,48.0,39.0,9.0
Democracy Corps (D),10/12,1000,,51.0,42.0,9.0
ABC News/Wash Post,10/11,766,3.5,53.0,43.0,10.0
FOX News,10/9,900,3.0,46.0,39.0,7.0
Newsweek,10/9,1035,3.7,52.0,41.0,11.0
Rasmussen Reports,10/9,3000,2.0,50.0,45.0,5.0
Gallup,10/9,2784,2.0,51.0,41.0,10.0
Hotline/FD,10/9,838,2.0,48.0,41.0,7.0
Reuters/C-SPAN/Zogby,10/9,1200,4.2,48.0,43.0,5.0
GWU/Battleground,10/9,800,3.5,51.0,43.0,8.0
Time,10/6,1053,,50.0,44.0,6.0
NBC News/Wall St. Jrnl,10/5,658,3.8,49.0,43.0,6.0
CBS News,10/5,616,,48.0,45.0,3.0
CNN,10/5,694,3.5,53.0,45.0,8.0
Ipsos/McClatchy,10/6,858,3.3,47.0,40.0,7.0
Democracy Corps (D),10/5,1000,,49.0,46.0,3.0
Marist,9/30,943,,49.0,44.0,5.0
CBS News,9/30,769,,50.0,41.0,9.0
Associated Press/GfK,9/30,808,3.4,48.0,41.0,7.0
ABC News/Wash Post,9/29,916,3.0,50.0,46.0,4.0
Pew Research,9/29,1181,4.0,49.0,43.0,6.0
Ipsos/McClatchy,9/29,1007,3.1,48.0,45.0,3.0
Time,9/29,1133,,50.0,43.0,7.0
Gallup Tracking,9/26,2759,2.0,49.0,44.0,5.0
Rasmussen Tracking,9/26,3000,2.0,50.0,44.0,6.0
Hotline/FD Tracking,9/26,914,3.3,48.0,43.0,5.0
GWU/Battleground,9/25,1000,3.3,46.0,48.0,-2.0
CBS News/NY Times,9/24,0,4.0,48.0,43.0,5.0
FOX News,9/23,900,3.0,45.0,39.0,6.0
Marist,9/23,689,4.0,49.0,44.0,5.0
NBC News/Wall St. Jrnl,9/22,1085,3.0,48.0,46.0,2.0
ABC News/Wash Post,9/22,780,3.5,52.0,43.0,9.0
LA Times/Bloomberg,9/22,838,,49.0,45.0,4.0
Ipsos/McClatchy,9/22,923,3.2,44.0,43.0,1.0
CNN/Opinion Research,9/21,697,3.0,51.0,47.0,4.0
F&M/Hearst-Argyle,9/21,1138,3.0,45.0,47.0,-2.0
Gallup Tracking,9/17,2815,2.0,48.0,44.0,4.0
Rasmussen Tracking,9/17,3000,2.0,48.0,48.0,0.0
Hotline/FD Tracking,9/17,912,3.2,46.0,42.0,4.0
GWU/Battleground,9/18,800,3.0,47.0,47.0,0.0
CBS News/NY Times,9/16,0,3.0,49.0,44.0,5.0
Quinnipiac,9/16,987,3.1,49.0,45.0,4.0
Pew Research,9/14,2307,,46.0,46.0,0.0
Reuters/Zogby,9/13,1008,3.1,47.0,45.0,2.0
Newsweek,9/11,1038,3.8,46.0,46.0,0.0
GWU/Battleground,9/11,1000,3.1,44.0,48.0,-4.0
Associated Press/GfK,9/10,812,,44.0,48.0,-4.0
FOX News,9/9,900,3.0,42.0,45.0,-3.0
Gallup Tracking,9/9,2714,2.0,43.0,48.0,-5.0
Rasmussen Tracking,9/9,3000,2.0,48.0,47.0,1.0
Hotline/FD Tracking,9/9,902,3.2,45.0,45.0,0.0
NBC News/Wall St. Jrnl,9/8,860,3.3,46.0,45.0,1.0
ABC News/Wash Post,9/7,0,3.0,47.0,49.0,-2.0
USA Today/Gallup,9/7,823,4.0,44.0,54.0,-10.0
CBS News*,9/7,655,4.0,44.0,46.0,-2.0
CNN/OpinionResearch,9/7,942,3.0,48.0,48.0,0.0
IBD/TIPP,9/7,868,3.3,45.0,40.0,5.0
CBS News,9/3,734,3.0,42.0,42.0,0.0
Gallup Tracking,9/1,2772,2.0,50.0,42.0,8.0
Rasmussen Tracking,9/1,3000,2.0,51.0,45.0,6.0
USAT/Gallup Tracking*,8/31,1835,3.0,50.0,43.0,7.0
CNN,8/31,927,3.0,49.0,48.0,1.0
Hotline/FD,8/31,805,3.5,48.0,39.0,9.0
CBS News,8/31,781,4.0,48.0,40.0,8.0
Gallup Tracking,8/25,2784,2.0,44.0,46.0,-2.0
Rasmussen Tracking,8/25,3000,3.0,46.0,46.0,0.0
CNN,8/24,909,3.5,47.0,47.0,0.0
Hotline/FD,8/24,1022,3.0,44.0,40.0,4.0
USA Today/Gallup,8/23,765,4.0,48.0,45.0,3.0
ABC News/Wash Post,8/22,0,,49.0,45.0,4.0
FOX News,8/20,900,3.0,42.0,39.0,3.0
CBS News/NY Times,8/19,869,3.0,45.0,42.0,3.0
NBC News/Wall St. Jrnl,8/18,1005,3.1,45.0,42.0,3.0
LA Times/Bloomberg,8/18,1248,,45.0,43.0,2.0
Gallup Tracking,8/17,2660,2.0,46.0,43.0,3.0
Rasmussen Tracking,8/17,3000,2.0,47.0,46.0,1.0
Reuters/Zogby,8/16,1089,3.0,41.0,46.0,-5.0
Quinnipiac,8/17,1547,2.5,47.0,42.0,5.0
Battleground,8/14,1000,3.1,46.0,47.0,-1.0
IBD/TIPP,8/9,856,,43.0,38.0,5.0
Pew Research,8/10,2414,3.0,46.0,43.0,3.0
CBS News,8/5,906,,45.0,39.0,6.0
Gallup Tracking,8/3,2659,,46.0,43.0,3.0
Rasmussen Tracking,8/3,3000,2.0,46.0,47.0,-1.0
Time,8/4,808,3.5,46.0,41.0,5.0
AP-Ipsos,8/4,833,,48.0,42.0,6.0
CNN,7/29,914,3.0,51.0,44.0,7.0
USA Today/Gallup,7/27,791,4.0,45.0,49.0,-4.0
Pew Research,7/27,1241,,47.0,42.0,5.0
Democracy Corps (D),7/24,1004,,50.0,45.0,5.0
FOX News,7/23,900,3.0,41.0,40.0,1.0
NBC News/Wall St. Jrnl,7/21,1003,,47.0,41.0,6.0
Gallup Tracking,7/15,2638,2.0,47.0,44.0,3.0
Rasmussen Tracking,7/15,3000,2.0,48.0,45.0,3.0
CBS News/NY Times,7/14,1462,3.0,45.0,39.0,6.0
ABC News/Wash Post,7/13,0,,49.0,46.0,3.0
Reuters/Zogby,7/13,1039,3.1,47.0,40.0,7.0
Quinnipiac,7/13,1725,2.4,50.0,41.0,9.0
IBD/TIPP,7/11,854,,40.0,37.0,3.0
Newsweek,7/10,1037,3.6,44.0,41.0,3.0
Gallup,7/2,2641,2.0,47.0,43.0,4.0
Rasmussen,7/1,3000,2.0,49.0,44.0,5.0
CNN,6/29,906,3.5,50.0,45.0,5.0
McLaughlin (R),6/29,1000,,46.0,38.0,8.0
Pew Research,6/29,1574,,48.0,40.0,8.0
Democracy Corps (D),6/25,2000,,49.0,45.0,4.0
Time,6/25,805,3.5,47.0,43.0,4.0
LA Times/Bloomberg,6/23,1115,,49.0,37.0,12.0
F&M/Hearst-Argyle,6/22,1501,2.5,42.0,36.0,6.0
Newsweek,6/19,896,4.0,51.0,36.0,15.0
FOX News,6/18,900,,45.0,41.0,4.0
USA Today/Gallup,6/19,1310,,50.0,44.0,6.0
ABC News/Wash Post,6/15,0,3.0,49.0,45.0,4.0
Cook/RT Strategies,6/15,880,3.3,44.0,40.0,4.0
Reuters/Zogby,6/14,1113,3.0,47.0,42.0,5.0
Ipsos,6/11,0,,50.0,43.0,7.0
Rasmussen,6/10,3000,2.0,49.0,44.0,5.0
Gallup,6/9,2633,2.0,48.0,41.0,7.0
NBC News/Wall St. Jrnl,6/9,1000,3.1,47.0,41.0,6.0
Hotline/FD,6/8,806,3.5,44.0,42.0,2.0
IBD/TIPP,6/8,916,,43.0,40.0,3.0
