Poll,Date,Sample,MoE,Obama,Romney,Spread
Politico/GWU/Battleground,11/5,1000.0,3.1,47.0,47.0,0.0
Rasmussen Reports,11/5,1500.0,3.0,48.0,49.0,-1.0
IBD/TIPP,11/5,712.0,3.7,50.0,49.0,1.0
CNN/Opinion Research,11/4,693.0,3.5,49.0,49.0,0.0
Gallup,11/4,2700.0,2.0,49.0,50.0,-1.0
ABC News/Wash Post,11/4,2345.0,2.5,50.0,47.0,3.0
Monmouth/SurveyUSA/Braun,11/4,1417.0,2.6,48.0,48.0,0.0
NBC News/Wall St. Jrnl,11/3,1475.0,2.6,48.0,47.0,1.0
Pew Research,11/3,2709.0,2.2,50.0,47.0,3.0
Politico/GWU/Battleground,11/1,1000.0,3.1,48.0,48.0,0.0
FOX News,10/30,1128.0,3.0,46.0,46.0,0.0
CBS News/NY Times,10/28,563.0,4.0,48.0,47.0,1.0
Pew Research,10/28,1495.0,2.9,47.0,47.0,0.0
National Journal,10/28,713.0,4.4,50.0,45.0,5.0
NPR,10/25,1000.0,3.1,47.0,48.0,-1.0
IBD/TIPP,10/27,930.0,3.5,45.0,44.0,1.0
Politico/GWU/Battleground,10/25,1000.0,3.1,49.0,48.0,1.0
Associated Press/GfK,10/23,839.0,4.2,45.0,47.0,-2.0
Monmouth/SurveyUSA/Braun,10/21,1402.0,2.6,45.0,48.0,-3.0
NBC News/Wall St. Jrnl,10/20,816.0,3.4,47.0,47.0,0.0
CBS News,10/20,790.0,4.0,48.0,46.0,2.0
WashTimes/JZ Analytics*,10/20,800.0,3.5,50.0,47.0,3.0
Politico/GWU/Battleground,10/18,1000.0,3.1,47.0,49.0,-2.0
Hartford Courant/UConn,10/16,1023.0,3.0,48.0,45.0,3.0
ABC News/Wash Post,10/13,923.0,3.5,49.0,46.0,3.0
Politico/GWU/Battleground,10/11,1000.0,3.1,49.0,48.0,1.0
Monmouth/SurveyUSA/Braun,10/10,1360.0,2.7,46.0,47.0,-1.0
FOX News,10/9,1109.0,3.0,45.0,46.0,-1.0
Gallup Tracking,10/10,2700.0,2.0,47.0,48.0,-1.0
Gallup Tracking,10/10,3050.0,2.0,48.0,46.0,2.0
Pew Research,10/7,1112.0,3.4,45.0,49.0,-4.0
Rasmussen Tracking,10/6,1500.0,3.0,47.0,49.0,-2.0
WashTimes/JZ Analytics*,10/7,800.0,3.5,45.0,45.0,0.0
Politico/GWU/Battleground,10/4,1000.0,3.1,49.0,48.0,1.0
Rasmussen Tracking,10/3,1500.0,3.0,49.0,47.0,2.0
Gallup Tracking,10/3,3050.0,2.0,49.0,45.0,4.0
CNN/Opinion Research,9/30,783.0,3.5,50.0,47.0,3.0
National Journal,9/30,789.0,4.2,47.0,47.0,0.0
NBC News/Wall St. Jrnl,9/30,832.0,3.4,49.0,46.0,3.0
NPR,9/30,800.0,4.0,51.0,44.0,7.0
ABC News/Wash Post,9/29,813.0,4.0,49.0,47.0,2.0
Quinnipiac,9/30,1912.0,2.2,49.0,45.0,4.0
WashTimes/JZ Analytics*,9/29,800.0,3.5,50.0,41.0,9.0
Politico/GWU/Battleground,9/27,1000.0,3.1,49.0,47.0,2.0
FOX News,9/26,1092.0,3.0,48.0,43.0,5.0
Bloomberg,9/24,789.0,3.5,49.0,43.0,6.0
Politico/GWU/Battleground,9/20,1000.0,3.1,50.0,47.0,3.0
National Journal,9/19,1055.0,3.0,50.0,43.0,7.0
Associated Press/GfK,9/17,807.0,4.3,47.0,46.0,1.0
Hartford Courant/UConn,9/18,1186.0,3.0,46.0,43.0,3.0
Rasmussen Tracking,9/16,1500.0,3.0,45.0,47.0,-2.0
Reason-Rupe/PSRAI,9/17,787.0,4.3,52.0,45.0,7.0
Monmouth/SurveyUSA/Braun,9/16,1344.0,2.7,48.0,45.0,3.0
Gallup Tracking,9/17,3050.0,2.0,47.0,46.0,1.0
NBC News/Wall St. Jrnl,9/16,736.0,3.6,50.0,45.0,5.0
Pew Research/PSRAI,9/16,2268.0,2.4,51.0,43.0,8.0
FOX News,9/11,1056.0,3.0,48.0,43.0,5.0
CBS News/NY Times,9/12,1162.0,3.0,49.0,46.0,3.0
Democracy Corps (D),9/12,1000.0,3.1,50.0,45.0,5.0
Esquire/Yahoo! News,9/10,724.0,5.0,50.0,46.0,4.0
Reuters/Ipsos,9/10,873.0,3.4,48.0,45.0,3.0
Gallup Tracking,9/11,3050.0,2.0,50.0,43.0,7.0
Rasmussen Tracking,9/9,1500.0,3.0,50.0,45.0,5.0
ABC News/Wash Post,9/9,710.0,4.5,49.0,48.0,1.0
CNN/Opinion Research,9/9,709.0,3.5,52.0,46.0,6.0
IBD/CSM/TIPP,9/9,808.0,3.5,46.0,44.0,2.0
CNN/Opinion Research,9/3,735.0,3.5,48.0,48.0,0.0
Democracy Corps (D),8/27,1000.0,3.1,49.0,47.0,2.0
CBS News,8/26,1051.0,3.0,46.0,45.0,1.0
Gallup Tracking,8/27,3050.0,2.0,46.0,47.0,-1.0
Rasmussen Tracking,8/25,1500.0,3.0,47.0,45.0,2.0
ABC News/Wash Post,8/25,857.0,4.0,46.0,47.0,-1.0
CNN/Opinion Research,8/23,719.0,3.5,49.0,47.0,2.0
