Date,McCain,MoE,Obama,Poll,Sample,Spread,State
10/28,61.0,,36.0,SurveyUSA,,-25.0,AL
10/21,54.0,,34.0,AEA/Capital Survey,,-20.0,AL
9/22,60.0,,39.0,Rasmussen,,-21.0,AL
9/15,52.0,,25.0,Press Register,,-27.0,AL
2/28,31.0,,61.0,SurveyUSA,592.0,30.0,HI
10/28,39.0,,56.0,SurveyUSA,658.0,17.0,MA
10/22,34.0,,53.0,Suffolk/7News,400.0,19.0,MA
10/13,34.0,,62.0,Rasmussen,500.0,28.0,MA
10/31,45.0,3.9,52.0,SurveyUSA,664.0,7.0,NM
10/28,44.0,4.5,54.0,Rasmussen,500.0,10.0,NM
10/2,40.0,3.8,45.0,Albuquerque Journal,659.0,5.0,NM
10/30,53.0,,44.0,Rasmussen,500.0,-9.0,SD
10/24,50.0,,41.0,Research 2000,600.0,-9.0,SD
10/15,48.0,,41.0,Mason-Dixon,800.0,-7.0,SD
11/3,55.0,,43.0,ARG,600.0,-12.0,AK
10/30,58.0,,39.0,Research 2000,600.0,-19.0,AK
10/28,57.0,,41.0,Rasmussen,500.0,-16.0,AK
10/19,53.0,,42.0,Ivan Moore Res.,500.0,-11.0,AK
8/22,52.0,,29.0,Greg Smith & Assoc.,600.0,-23.0,ID
7/30,53.0,,37.0,Research 2000,500.0,-16.0,ID
2/28,52.0,,39.0,SurveyUSA,608.0,-13.0,ID
11/3,38.0,5.0,54.0,Mitchell Research,400.0,16.0,MI
10/31,37.0,4.0,53.0,Detroit Free Press,616.0,16.0,MI
10/28,43.0,4.5,53.0,Rasmussen,500.0,10.0,MI
10/28,38.0,4.0,50.0,Det. News (EPIC/MRA),600.0,12.0,MI
10/22,29.0,,65.0,Marist,571.0,36.0,NY
10/14,37.0,,57.0,Rasmussen,500.0,20.0,NY
10/12,31.0,,64.0,SurveyUSA,547.0,33.0,NY
10/22,54.0,,38.0,Research 2000,600.0,-16.0,TN
10/16,54.0,,42.0,Rasmussen,500.0,-12.0,TN
9/27,48.0,,36.0,Middle Tn. State U.,635.0,-12.0,TN
9/24,55.0,,39.0,Mason-Dixon,625.0,-16.0,TN
10/30,50.0,4.0,46.0,ARG,600.0,-4.0,AZ
10/30,48.0,4.0,47.0,Research 2000,600.0,-1.0,AZ
10/28,48.0,4.0,44.0,NBC/Mason-Dixon,625.0,-4.0,AZ
10/26,51.0,4.5,46.0,Rasmussen,500.0,-5.0,AZ
11/1,38.0,,60.0,Rasmussen,500.0,22.0,IL
10/23,35.0,,59.0,Research 2000,800.0,24.0,IL
10/22,32.0,,61.0,Big10 Battleground,572.0,29.0,IL
10/18,32.0,,56.0,Chicago Tribune,500.0,24.0,IL
11/1,46.0,3.9,49.0,SurveyUSA,669.0,3.0,MN
10/31,42.0,4.1,53.0,Star Tribune,933.0,11.0,MN
10/28,43.0,4.5,55.0,Rasmussen,500.0,12.0,MN
10/29,38.0,4.0,53.0,Research 2000,600.0,15.0,MN
10/28,40.0,4.0,48.0,NBC/Mason-Dixon,625.0,8.0,MN
11/2,50.0,3.0,49.0,FOX News/Rasmussen,1000.0,-1.0,NC
11/3,50.0,4.1,49.0,Reuters/Zogby,585.0,-1.0,NC
11/3,48.0,4.0,49.0,ARG,600.0,1.0,NC
11/2,49.0,3.8,48.0,SurveyUSA,682.0,-1.0,NC
10/30,49.0,4.0,46.0,Mason-Dixon,625.0,-3.0,NC
10/30,45.0,4.0,47.0,Research 2000,600.0,2.0,NC
10/29,48.0,3.7,48.0,Politico/InAdv,641.0,0.0,NC
10/21,54.0,4.5,44.0,Rasmussen,500.0,-10.0,TX
10/22,51.0,4.2,40.0,University of Texas,550.0,-11.0,TX
10/15,52.0,4.0,40.0,Research 2000,600.0,-12.0,TX
10/8,57.0,4.0,38.0,ARG,600.0,-19.0,TX
10/31,51.0,,44.0,ARG,600.0,-7.0,AR
10/27,54.0,,44.0,Rasmussen,500.0,-10.0,AR
10/22,52.0,,41.0,Research 2000,600.0,-11.0,AR
11/3,50.0,4.1,45.0,Reuters/Zogby,585.0,-5.0,IN
10/31,48.0,4.0,48.0,ARG,600.0,0.0,IN
10/30,47.0,3.3,47.0,Downs Center/SUSA,900.0,0.0,IN
10/29,49.0,4.5,46.0,Rasmussen,500.0,-3.0,IN
10/28,45.0,4.0,46.0,Indy Star/Selzer,606.0,1.0,IN
10/29,53.0,4.0,40.0,Research 2000,600.0,-13.0,MS
10/27,53.0,4.5,45.0,Rasmussen,500.0,-8.0,MS
10/23,46.0,5.0,33.0,Press Register,405.0,-13.0,MS
10/15,45.0,,45.0,Research 2000,600.0,0.0,ND
10/14,41.0,,44.0,North Dakota UTU (D),504.0,3.0,ND
10/8,43.0,,45.0,Forum Poll/MSUM,600.0,2.0,ND
9/17,53.0,,40.0,Research 2000,500.0,-13.0,ND
9/8,55.0,,41.0,Rasmussen,500.0,-14.0,ND
8/27,40.0,,43.0,North Dakota UTU (D),400.0,3.0,ND
7/23,45.0,,42.0,Research 2000,500.0,-3.0,ND
7/8,47.0,,46.0,Rasmussen,500.0,-1.0,ND
4/3,44.0,,38.0,Dakota Wesleyan,260.0,-6.0,ND
2/28,42.0,,46.0,SurveyUSA,572.0,4.0,ND
10/25,55.0,,32.0,Mason-Dixon,625.0,-23.0,UT
