Date,MoE,Obama,Poll,Romney,Sample,Spread,State
11/3,3.0,46.0,PPP (D),53.0,1080,-7.0,AZ
10/21,4.5,44.0,Rasmussen Reports,52.0,500,-8.0,AZ
9/17,2.0,35.0,Talk Business Poll,56.0,2228,-21.0,AR
3/26,3.6,33.0,Talk Business Poll,57.0,759,-24.0,AR
9/15,2.1,34.0,Talk Business Poll,50.0,2101,-16.0,AR
10/30,3.6,54.0,Field,39.0,751,15.0,CA
10/21,2.9,54.0,LA Times/USC,40.0,1440,14.0,CA
10/21,4.0,53.0,PPIC,41.0,993,12.0,CA
10/15,5.1,53.0,Reason-Rupe,38.0,508,15.0,CA
10/9,4.3,53.0,SurveyUSA,39.0,539,14.0,CA
11/4,3.0,52.0,PPP (D),46.0,1096,6.0,CO
10/30,2.9,50.0,WeAskAmerica,47.0,1246,3.0,CO
10/31,3.8,47.0,Denver Post/SurveyUSA,45.0,695,2.0,CO
10/29,4.0,47.0,Rasmussen Reports,50.0,750,-3.0,CO
10/31,3.5,50.0,CNN/Opinion Research,48.0,764,2.0,CO
10/28,4.0,47.0,ARG,48.0,600,-1.0,CO
11/2,2.8,55.0,PPP (D),42.0,1220,13.0,CT
10/21,4.5,52.0,Rasmussen Reports,45.0,500,7.0,CT
10/22,2.6,55.0,Quinnipiac,41.0,1412,14.0,CT
10/21,4.2,53.0,SurveyUSA,40.0,575,13.0,CT
10/17,4.0,49.0,Mason-Dixon,42.0,625,7.0,CT
11/5,3.1,49.0,Gravis Marketing,49.0,1060,0.0,FL
11/4,4.6,47.0,Florida Times-Union/InAdv,52.0,437,-5.0,FL
11/4,3.2,50.0,PPP (D),49.0,955,1.0,FL
11/1,3.5,45.0,TBT/Herald/Mason-Dixon,51.0,800,-6.0,FL
11/1,2.5,49.0,NBC/WSJ/Marist,47.0,1545,2.0,FL
10/30,3.0,49.0,WeAskAmerica,50.0,1146,-1.0,FL
11/1,4.7,42.0,InsiderAdvantage,54.0,426,-12.0,GA
10/28,4.2,44.0,SurveyUSA,52.0,574,-8.0,GA
9/28,2.4,62.0,Honolulu Civil Beat/MRG,30.0,1648,32.0,HI
10/16,4.1,59.0,PPP (D),32.0,568,27.0,HI
